Apple,Bread,Butter,Cheese,Corn,Dill,Eggs,Ice cream,Kidney Beans,Milk,Nutmeg,Onion,Sugar,Unicorn,Yogurt,chocolate
true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true
true,true,true,true,true,false,true,true,true,false,false,true,false,true,true,true
true,false,true,true,true,false,true,false,true,true,true,false,true,true,true,false
true,true,true,false,true,false,false,true,true,true,true,false,true,false,true,false
false,true,true,false,false,false,true,false,false,true,false,false,true,false,false,false
true,true,true,true,false,true,false,false,true,false,false,true,true,true,true,false
true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true
true,false,true,false,false,true,false,false,true,true,false,true,true,true,false,true
false,false,false,false,false,true,false,true,false,true,true,true,true,false,true,false
true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false
true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true
false,false,true,true,false,false,true,false,false,false,true,false,true,true,true,false
true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true
true,false,true,true,false,false,false,false,true,false,true,true,true,false,true,true
true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false
true,false,true,true,true,false,true,true,true,true,true,true,false,true,false,false
true,false,false,false,true,false,false,true,true,true,false,false,false,true,true,true
false,true,false,false,false,false,true,true,false,false,true,true,true,false,true,false
false,false,false,true,true,true,true,true,true,true,true,false,false,false,true,false
false,true,true,true,false,true,false,false,false,true,false,true,false,false,true,true
true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
true,false,true,true,true,true,true,false,true,true,false,true,true,false,true,true
true,false,true,true,false,false,true,true,false,false,false,true,true,true,false,false
true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true
false,true,true,false,true,false,true,false,false,false,false,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false
false,false,true,false,true,true,true,true,false,false,false,true,false,true,false,true
true,false,false,false,false,false,false,true,true,false,false,true,true,true,false,false
true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
true,true,true,true,true,true,true,false,true,false,true,false,false,false,true,false
false,false,true,true,false,false,false,false,true,false,true,false,false,false,false,true
false,true,false,true,false,true,true,false,false,true,false,false,false,true,false,false
true,false,true,false,true,false,true,false,false,false,true,false,false,false,false,false
true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
true,false,true,false,false,false,false,true,true,false,true,true,true,true,false,true
true,true,true,true,true,false,true,false,true,true,true,true,false,false,true,false
true,false,true,true,true,false,false,false,false,true,true,true,true,true,false,false
false,true,true,true,false,true,false,true,false,true,false,true,false,true,true,false
true,true,false,true,false,true,true,false,true,true,false,false,false,false,false,false
true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
false,false,true,false,false,false,true,false,true,false,true,true,true,false,true,false
false,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true
false,false,false,true,true,false,true,true,true,true,false,false,true,true,false,false
true,true,true,false,true,false,true,false,false,true,false,false,false,true,true,false
true,true,false,false,true,true,true,false,true,true,false,true,true,true,true,true
true,true,true,false,true,true,false,true,true,true,true,false,true,false,false,true
true,false,false,false,true,false,false,true,true,true,true,false,true,false,false,true
false,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
false,false,false,false,false,true,true,false,false,false,false,true,true,false,false,true
false,true,false,true,true,true,true,true,true,false,true,false,false,true,false,false
false,true,true,true,false,false,true,true,false,false,false,true,true,true,true,false
true,true,false,true,true,true,false,true,false,true,false,false,false,false,false,true
false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,false
false,true,true,false,false,false,false,true,false,true,false,false,false,false,false,false
false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,false
true,true,true,false,false,false,false,false,false,false,false,false,true,true,false,false
false,true,false,true,false,false,true,true,true,true,true,false,false,false,false,false
true,false,false,false,false,true,false,false,true,true,false,false,true,true,false,false
false,true,true,true,true,false,true,true,true,false,false,false,true,true,false,true
true,false,true,true,false,false,true,true,true,false,true,false,true,true,true,true
false,true,false,true,false,false,true,true,false,true,false,true,true,true,false,true
true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
false,true,false,true,false,true,false,true,false,false,true,false,false,false,false,true
true,false,false,false,false,true,false,true,false,false,true,false,false,true,false,false
true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true
true,false,false,false,true,true,true,false,true,false,true,true,false,true,true,false
true,true,true,false,true,true,false,true,true,true,true,true,false,true,false,false
true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true
true,false,true,false,true,true,false,false,true,true,false,false,false,false,true,true
true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true
false,true,true,false,true,false,false,true,false,true,true,false,true,false,true,false
true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true
true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
false,true,true,false,false,false,true,true,true,false,false,false,true,true,false,true
false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,false
false,false,true,true,false,true,false,false,false,false,false,true,true,true,true,false
true,true,false,true,true,true,false,true,false,false,false,false,true,true,true,true
false,false,true,false,true,false,false,true,true,true,false,false,false,true,false,true
false,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true
true,false,false,true,false,true,false,false,true,true,true,false,false,false,true,true
false,false,false,false,true,true,true,true,true,false,true,false,false,true,true,false
false,true,true,false,false,false,true,false,true,true,true,true,false,true,false,true
true,true,true,true,false,true,false,true,true,true,false,false,true,false,false,false
true,true,false,false,true,false,true,false,true,true,true,true,false,true,true,true
true,true,true,false,true,true,true,true,true,true,false,false,true,true,false,true
true,true,false,true,false,true,true,false,false,true,true,true,true,false,false,true
true,false,true,true,false,false,false,true,false,true,false,true,true,true,false,false
true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
true,false,false,true,true,false,false,true,true,true,true,true,true,true,false,true
false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,false
true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,false
false,true,false,false,false,true,false,true,true,false,false,false,false,false,false,true
true,false,false,true,false,true,true,false,false,false,false,false,false,true,false,false
false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false
false,false,false,true,true,false,true,true,true,false,false,true,false,true,true,false
false,true,true,false,true,false,false,true,true,true,false,false,false,false,false,true
true,true,true,false,true,false,false,true,false,false,false,true,true,false,true,false
true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true
true,true,false,false,false,false,true,false,false,true,false,false,true,true,false,true
true,false,false,true,true,false,false,false,true,false,true,false,true,false,false,false
false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,false
true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
true,true,true,false,false,true,true,true,false,false,true,false,true,true,true,true
false,true,false,false,false,false,true,false,false,false,false,true,false,false,true,false
false,false,false,true,false,true,true,true,true,false,false,true,true,false,false,true
true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true
false,false,true,true,false,true,false,false,false,true,true,false,false,true,false,true
true,true,true,true,true,true,true,true,false,false,false,true,false,false,false,true
true,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true
true,true,true,true,true,false,true,false,true,false,true,false,false,true,true,true
true,true,true,true,false,false,true,false,false,true,false,true,false,false,true,false
false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,false
true,true,true,true,true,true,false,true,true,true,false,true,false,false,false,true
false,false,false,true,false,true,true,false,true,true,false,false,false,false,false,true
true,true,true,false,false,true,true,false,false,true,false,true,false,true,false,true
true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
true,true,true,false,true,true,true,true,false,false,true,true,false,false,true,true
true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,true
true,false,false,true,false,true,true,true,false,true,true,true,true,true,false,true
false,true,false,true,true,false,false,false,false,false,true,false,false,true,false,true
true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
false,true,true,true,false,true,true,true,true,false,false,true,false,true,true,true
true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
true,true,true,true,false,true,false,false,false,true,false,true,true,false,true,false
true,true,true,true,true,true,false,true,false,false,false,true,false,false,true,true
true,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false
false,true,false,true,false,false,false,false,true,true,true,true,false,false,true,false
true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
false,false,false,false,false,true,false,false,false,true,false,true,false,false,true,false
true,false,true,true,true,false,true,true,true,true,false,false,true,false,false,true
true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
true,false,false,true,true,true,false,false,false,true,false,true,false,true,true,false
false,true,false,false,true,false,true,false,false,true,false,true,false,false,false,true
true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false
true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,false
true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,false
true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true
true,true,false,false,true,false,false,true,false,false,false,true,true,false,false,true
true,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false
true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true
true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false
true,true,false,false,false,false,true,true,true,false,true,true,false,false,true,false
false,true,false,false,true,true,false,true,true,true,true,false,false,true,false,false
true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true
false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,false
true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false
true,true,false,false,true,true,true,false,false,false,false,false,true,false,false,false
false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false
true,true,true,true,false,true,true,false,true,true,false,false,true,false,false,false
false,true,false,false,false,false,true,true,false,true,true,true,false,false,false,true
false,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false
false,true,true,false,false,true,true,false,false,true,true,true,true,true,false,true
false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true
false,false,false,false,true,false,true,false,true,true,false,false,false,true,true,false
true,true,true,false,false,true,false,true,false,true,true,false,true,false,false,true
true,true,false,false,true,false,false,false,true,true,true,false,true,false,true,false
true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true
false,false,true,false,false,false,false,true,true,false,true,false,false,false,true,true
true,false,false,false,true,true,false,true,false,false,false,false,true,true,true,true
false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false
true,true,false,false,true,false,true,false,false,false,true,true,false,true,false,true
true,true,true,true,true,false,true,false,true,true,false,false,true,true,true,false
true,true,false,true,true,true,true,false,true,false,true,true,false,false,true,false
true,false,false,true,true,false,false,false,false,false,true,false,true,false,true,true
true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true
true,false,true,false,true,false,false,false,false,true,true,true,true,false,false,true
false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true
true,true,true,false,false,true,true,true,true,false,true,true,false,true,false,false
true,true,true,false,true,true,true,true,false,true,false,false,false,false,true,true
true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true
true,false,false,false,true,false,true,false,true,true,false,false,true,false,true,false
false,false,false,true,false,false,false,false,false,true,true,true,false,true,false,true
false,false,false,true,false,true,true,false,false,true,true,true,true,true,true,false
true,false,false,false,true,true,false,true,true,false,false,true,true,true,false,false
true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true
true,true,false,true,true,true,false,true,false,false,true,false,true,true,false,false
true,true,false,true,true,false,true,true,true,true,false,true,false,false,true,false
true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,false
false,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true
false,false,true,true,true,false,true,true,true,true,false,true,false,false,true,true
true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true
true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,false
false,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true
true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,false
true,false,false,true,true,false,true,true,true,true,false,false,true,true,false,false
false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true
false,true,false,true,true,true,false,false,true,false,true,true,false,true,true,true
true,true,true,false,false,true,false,true,true,true,true,true,false,false,false,true
true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true
false,true,false,false,false,false,false,false,true,true,false,false,false,false,true,true
false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
true,false,true,true,false,false,true,true,true,false,true,true,true,true,true,false
false,true,true,false,false,false,true,true,true,true,false,true,false,true,true,true
true,true,false,true,true,true,true,false,true,false,true,true,true,true,false,false
true,true,true,false,false,true,true,true,true,true,false,true,false,true,true,true
false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
true,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true
true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true
false,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false
true,false,false,true,false,true,true,true,true,true,true,true,true,false,false,true
true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true
false,false,true,true,false,false,true,true,true,false,true,true,true,true,true,false
true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
false,true,false,false,true,true,true,false,false,false,true,true,false,false,false,false
true,false,true,true,true,false,false,false,true,true,true,true,false,true,true,true
false,true,true,false,false,true,true,true,true,false,false,false,true,false,false,false
true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,true
false,true,true,true,false,false,true,true,true,true,false,false,true,true,true,true
true,false,true,false,true,true,false,true,true,false,false,true,true,false,true,true
false,true,false,false,true,true,true,false,false,false,true,true,true,true,true,false
true,true,false,true,false,false,false,false,true,true,false,false,true,true,false,false
false,false,false,false,true,true,true,false,false,true,true,false,false,true,true,true
true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
true,false,false,true,true,false,true,true,true,true,false,true,true,false,false,true
true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true
false,true,false,true,false,false,true,false,false,false,false,false,true,true,true,false
true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
false,true,false,false,false,true,true,false,false,true,false,true,false,false,true,false
true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
true,true,false,true,true,true,true,false,false,false,true,true,false,false,true,false
true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true
false,true,true,false,false,false,true,true,false,false,true,false,false,false,true,false
false,false,false,false,false,false,false,false,true,true,true,false,true,false,true,true
false,true,true,false,false,false,false,true,true,true,false,false,false,false,true,false
true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true
false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,true
true,false,true,false,false,true,true,false,false,true,false,true,false,false,false,false
true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
false,false,true,true,false,true,true,true,true,false,false,false,true,true,false,true
true,false,false,false,false,true,false,true,true,true,false,false,true,true,false,false
true,true,true,true,false,true,true,true,false,false,true,true,true,false,true,true
false,false,true,false,true,true,true,false,true,true,false,false,true,false,true,true
true,true,true,false,true,false,true,true,false,true,false,false,false,true,true,true
false,true,false,true,false,false,true,true,false,false,true,false,true,false,true,true
false,false,false,true,false,true,false,false,true,true,true,true,false,false,false,true
true,true,false,false,true,true,false,false,false,true,true,false,true,false,false,true
true,false,false,true,false,true,true,true,true,false,true,true,true,false,false,true
false,false,false,true,false,true,true,false,true,true,true,true,false,false,false,true
true,true,true,true,false,false,true,false,true,false,false,false,true,true,true,true
true,false,false,true,false,true,false,true,false,true,true,false,false,true,false,false
true,false,false,false,true,true,true,true,true,true,true,false,false,true,false,true
true,true,false,false,false,true,true,false,true,false,true,true,true,false,false,true
false,false,false,true,false,true,false,false,true,true,false,false,false,true,true,false
true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true
false,true,false,true,true,true,false,true,false,true,false,true,false,true,false,true
false,false,true,true,true,false,false,false,true,false,false,true,false,true,false,false
false,false,false,true,true,false,true,true,false,false,false,false,true,false,true,false
true,false,true,false,true,false,true,true,true,false,true,false,true,true,true,false
true,true,false,false,false,true,false,false,false,true,true,true,true,true,false,false
false,false,true,true,true,false,true,true,true,false,true,false,false,false,true,false
true,true,false,false,true,false,false,true,false,true,false,true,true,false,true,false
true,true,false,true,false,true,false,true,false,true,false,false,true,true,false,false
true,true,false,false,false,false,true,false,false,false,true,false,true,true,true,false
false,true,false,false,true,true,true,true,true,true,true,true,false,false,false,false
false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false
true,true,true,false,false,false,true,false,true,true,false,false,true,false,false,false
false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true
false,true,true,false,true,true,false,false,false,false,true,false,false,false,false,false
true,false,true,false,true,false,false,true,false,true,false,true,false,true,false,false
true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false
false,true,true,false,false,false,false,false,true,true,true,false,false,true,false,true
true,false,true,true,false,true,false,true,true,true,false,false,true,false,true,false
true,true,true,false,false,true,true,false,true,true,false,true,false,true,true,true
true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true
false,true,false,true,true,true,false,true,false,false,false,true,false,true,false,true
false,true,false,true,false,true,false,true,true,false,false,false,false,true,false,false
false,true,false,false,false,true,true,false,false,true,true,false,true,false,true,true
true,true,true,true,false,false,true,false,true,false,true,true,false,false,true,false
false,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false
false,true,false,false,true,false,false,true,true,false,true,true,false,true,true,false
true,true,false,true,false,false,true,false,false,false,false,true,false,true,false,true
false,false,false,false,true,false,false,true,true,false,true,false,false,true,true,true
false,false,true,true,false,false,false,false,true,false,true,false,false,false,false,false
false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false
false,true,false,false,true,true,false,true,false,true,false,false,true,true,true,true
true,false,true,false,false,true,true,true,false,false,true,true,false,true,false,true
true,true,true,true,false,true,false,true,true,true,true,true,true,false,false,false
true,true,true,false,true,false,true,false,false,true,true,true,false,true,false,false
true,false,true,false,false,false,true,false,false,true,true,false,true,true,true,true
true,true,true,true,true,false,false,true,true,true,true,false,true,false,true,false
true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true
true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true
true,true,false,true,true,false,false,false,true,true,false,true,true,true,true,false
false,true,false,true,true,true,false,true,true,false,false,false,false,false,true,true
false,false,false,true,false,true,false,false,true,true,false,false,false,false,false,false
true,true,true,true,false,false,false,false,false,false,true,false,true,true,false,true
false,true,false,true,false,true,true,true,false,false,true,false,true,false,true,true
true,false,true,true,true,false,true,true,false,true,true,false,false,false,false,true
false,true,false,false,true,true,true,true,false,true,true,true,false,true,true,true
true,true,true,false,true,true,true,false,true,true,true,false,true,true,false,true
true,false,false,true,true,false,true,false,true,false,false,false,false,true,true,false
true,true,false,false,true,true,true,false,false,true,false,true,true,false,false,true
false,true,false,true,false,true,true,false,false,true,true,false,false,false,true,true
false,false,true,false,false,true,false,true,false,false,true,true,true,false,true,true
true,true,true,false,true,true,true,true,true,false,false,true,false,false,false,false
true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false
false,true,false,false,false,false,true,true,false,true,true,false,true,false,false,false
false,true,true,true,false,true,true,false,true,true,false,false,false,true,false,true
true,false,false,true,true,false,true,true,true,false,false,false,false,true,true,true
true,true,false,false,false,true,false,false,true,false,true,false,true,true,true,true
true,true,true,true,true,true,false,false,false,false,true,true,false,false,false,true
false,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false
false,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true
true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true
false,true,true,false,false,true,false,true,true,false,false,false,true,false,false,true
true,false,true,true,false,true,true,true,false,false,true,true,false,true,true,false
true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,true
true,false,true,false,false,false,true,true,false,false,true,true,false,false,false,false
false,false,false,false,true,true,true,false,true,false,true,true,false,true,false,false
false,true,false,true,true,false,false,false,false,false,false,true,false,false,true,false
false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true
true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,true
false,false,false,false,true,true,false,true,true,false,false,true,true,true,false,true
true,true,false,false,false,false,true,true,false,true,true,false,true,true,false,false
true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
true,true,false,false,true,false,true,false,true,false,false,true,false,true,true,false
false,false,false,true,false,true,true,true,true,true,false,false,false,true,false,true
true,true,false,true,false,true,false,true,false,false,false,true,false,false,true,false
false,true,false,true,false,false,true,false,false,true,true,true,false,true,true,false
true,true,true,true,false,true,false,true,true,true,false,true,true,true,false,true
false,true,false,false,false,false,false,true,false,true,false,false,true,true,false,true
false,true,false,false,false,true,true,false,false,true,false,true,false,false,true,false
false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true
true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true
true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,true
true,false,false,false,false,false,false,false,true,false,true,false,false,false,true,true
true,false,false,false,false,true,true,false,false,false,false,true,true,true,false,false
true,true,true,true,false,false,true,false,true,true,true,true,true,false,true,true
true,false,true,false,true,true,true,true,false,false,true,true,true,false,true,true
false,true,true,true,true,true,true,false,false,false,false,true,true,false,false,true
true,false,false,true,true,true,false,true,false,true,true,true,false,false,true,true
true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true
false,true,true,false,false,true,false,true,false,false,true,true,true,true,false,false
false,false,true,false,false,true,false,false,true,true,true,false,false,false,true,false
false,false,false,false,true,false,false,true,false,true,true,false,true,true,false,false
true,false,false,true,true,true,true,false,false,true,true,true,false,false,false,true
false,false,false,true,false,true,false,false,true,true,false,false,false,false,true,false
true,true,false,false,true,false,false,true,false,false,false,false,true,true,true,true
true,true,true,false,false,true,true,true,true,false,true,true,true,false,false,true
true,false,false,false,false,false,false,true,false,true,true,false,false,false,true,false
true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false
true,true,false,true,false,true,true,true,true,false,true,true,false,false,false,true
false,false,false,false,false,true,false,true,true,true,false,false,false,true,false,false
false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true
true,true,true,false,true,true,true,false,false,true,false,true,true,true,true,true
true,false,true,false,false,false,true,false,true,false,true,false,false,true,false,false
false,true,true,true,true,false,false,false,true,true,false,true,false,true,true,false
true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,false
false,false,false,false,true,true,true,false,true,true,false,false,true,false,false,true
true,true,true,false,true,false,false,false,false,true,true,false,true,true,true,false
true,true,false,false,true,true,true,false,false,false,true,false,false,true,false,true
true,false,true,false,true,true,true,false,false,true,false,true,false,false,false,true
false,true,true,true,false,false,true,false,false,true,false,true,true,true,false,false
true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true
true,false,false,true,true,false,false,true,false,true,false,false,true,false,false,true
false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
true,true,false,true,true,false,true,true,false,false,false,true,false,false,false,false
true,false,true,true,false,true,true,false,true,true,true,false,false,true,true,true
false,true,true,true,true,true,false,false,true,false,true,false,false,true,false,true
true,false,false,false,false,true,false,true,false,false,false,false,true,false,false,true
true,true,false,false,true,true,true,false,true,true,true,true,false,true,false,false
false,false,false,true,true,false,true,true,false,false,false,false,false,true,false,true
true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true
false,false,false,false,true,false,true,false,true,true,false,false,true,false,true,true
true,true,true,true,true,true,false,false,true,false,false,false,false,true,true,false
true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,true,true,false,true,false,false,false,false,false,false,false,true,false
true,true,false,false,false,false,false,false,true,false,false,false,true,false,true,false
true,true,true,true,false,true,false,false,false,true,false,false,true,true,false,false
true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false
true,false,false,true,true,true,false,false,true,false,true,false,true,false,false,false
false,true,false,false,false,true,true,false,true,true,false,true,true,false,true,true
true,true,false,false,true,true,true,true,true,false,true,true,true,false,true,true
true,false,true,true,false,true,false,false,false,true,true,false,true,true,false,true
true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true
false,true,true,true,true,true,true,false,true,false,true,false,false,true,false,false
true,true,false,true,false,true,true,true,false,false,true,false,false,false,false,true
true,true,true,false,false,true,true,true,true,true,false,false,true,false,false,false
false,true,false,true,true,false,true,true,true,false,false,true,false,true,false,true
false,false,false,false,true,true,false,false,true,true,false,false,false,true,false,true
false,true,false,true,false,true,false,true,true,true,false,true,false,false,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
false,false,true,false,false,false,true,false,false,false,false,false,false,false,true,true
false,true,true,true,true,false,false,true,true,true,false,false,false,true,true,true
false,true,true,true,false,true,true,true,false,true,true,true,true,false,false,false
true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true
true,false,false,false,true,true,true,false,false,false,false,false,false,true,false,true
true,true,true,false,false,false,false,true,false,true,false,false,true,true,true,true
true,true,false,false,false,false,true,false,true,true,false,false,true,false,true,false
