Invoice ID,Product line,Unit price,Quantity,Date,Time,Payment,cogs,gross income,Rating
381-20-0914,Fashion accessories,20.01,9,1/12/2019,15:48,Credit card,180.09,,5.7
829-49-1914,Food and beverages,78.31,10,3/5/2019,16:24,Ewallet,783.1,39.155,6.6
756-01-7507,Health and beauty,20.38,5,1/22/2019,18:56,Cash,101.9,5.095,6
870-72-4431,Health and beauty,99.19,6,1/21/2019,14:42,Credit card,595.14,29.757,5.5
847-38-7188,Food and beverages,96.68,3,1/26/2019,19:56,Ewallet,290.04,14.502,6.4
480-63-2856,Food and beverages,19.25,8,1/23/2019,18:37,Ewallet,154,7.7,6.6
787-56-0757,Food and beverages,80.36,4,2/23/2019,18:45,Credit card,321.44,16.072,8.3
360-39-5055,Sports and travel,48.91,5,3/9/2019,10:17,Cash,244.55,12.2275,6.6
730-50-9884,Sports and travel,83.06,7,3/5/2019,14:31,Ewallet,581.42,29.071,4
362-58-8315,Fashion accessories,76.52,5,3/25/2019,10:23,Cash,382.6,19.13,9.9
633-44-8566,Food and beverages,49.38,7,3/27/2019,20:35,Credit card,345.66,17.283,7.3
504-35-8843,Sports and travel,42.47,1,1/2/2019,16:57,Cash,42.47,2.1235,5.7
318-68-5053,Health and beauty,76.99,6,2/27/2019,17:55,Cash,461.94,23.097,6.1
565-80-5980,Home and lifestyle,47.38,4,1/23/2019,10:25,Cash,189.52,9.476,7.1
225-32-0908,Sports and travel,44.86,10,1/26/2019,19:54,Ewallet,448.6,22.43,8.2
873-51-0671,Sports and travel,21.98,7,1/10/2019,16:42,,153.86,,5.1
152-08-9985,Health and beauty,64.36,9,3/12/2019,12:09,Credit card,579.24,28.962,8.6
512-91-0811,Health and beauty,89.75,1,2/6/2019,20:05,Credit card,89.75,4.4875,6.6
594-34-4444,Electronic accessories,97.16,1,3/8/2019,20:38,,97.16,4.858,7.2
766-85-7061,Health and beauty,87.87,10,3/29/2019,10:25,Ewallet,878.7,43.935,5.1
871-39-9221,Electronic accessories,12.45,6,2/9/2019,13:11,Cash,74.7,3.735,4.1
865-92-6136,Food and beverages,52.75,3,3/23/2019,10:16,,158.25,7.9125,9.3
733-01-9107,Home and lifestyle,82.7,6,3/5/2019,18:14,Cash,496.2,24.81,7.4
163-56-7055,Fashion accessories,48.71,1,3/26/2019,19:20,Cash,48.71,2.4355,4.1
189-98-2939,Fashion accessories,78.55,9,3/1/2019,13:22,,706.95,35.3475,7.2
551-21-3069,Electronic accessories,23.07,9,2/1/2019,11:27,Cash,207.63,10.3815,4.9
212-62-1842,Food and beverages,58.26,6,3/28/2019,16:44,Cash,349.56,17.478,9.9
716-39-1409,Health and beauty,30.35,7,3/19/2019,18:19,Cash,212.45,10.6225,8
704-48-3927,Electronic accessories,88.67,10,1/12/2019,14:50,Ewallet,886.7,44.335,7.3
628-34-3388,Fashion accessories,27.38,6,1/5/2019,20:54,,164.28,8.214,7.9
630-74-5166,Sports and travel,62.13,6,3/22/2019,20:19,Cash,372.78,,7.4
588-01-7461,Food and beverages,33.98,9,3/24/2019,10:43,Cash,305.82,15.291,4.2
861-77-0145,Electronic accessories,81.97,10,3/3/2019,14:30,Cash,819.7,40.985,9.2
479-26-8945,Sports and travel,16.49,2,2/5/2019,11:32,Ewallet,32.98,1.649,4.6
210-67-5886,Health and beauty,98.21,3,2/5/2019,10:41,Credit card,294.63,14.7315,7.8
227-78-1148,Fashion accessories,72.84,7,2/15/2019,12:44,Cash,509.88,25.494,8.4
645-44-1170,Home and lifestyle,58.07,9,1/19/2019,20:07,Ewallet,522.63,26.1315,4.3
237-01-6122,Home and lifestyle,80.79,9,2/1/2019,20:31,Credit card,727.11,36.3555,9.5
225-98-1496,Fashion accessories,27.02,3,3/2/2019,13:01,Credit card,81.06,4.053,7.1
291-32-1427,Fashion accessories,21.94,5,3/5/2019,12:29,,109.7,5.485,
659-65-8956,Fashion accessories,51.36,1,1/16/2019,15:26,Ewallet,51.36,2.568,
642-32-2990,Food and beverages,10.96,10,2/2/2019,20:48,Ewallet,109.6,5.48,6
378-24-2715,Home and lifestyle,53.44,2,1/20/2019,20:38,Ewallet,106.88,,4.1
638-60-7125,Electronic accessories,99.56,8,2/14/2019,17:03,Credit card,796.48,39.824,5.2
659-36-1684,Sports and travel,57.12,7,1/12/2019,12:02,,399.84,19.992,6.5
219-22-9386,Sports and travel,99.96,9,3/9/2019,17:26,Credit card,899.64,44.982,4.2
336-78-2147,Home and lifestyle,63.91,8,3/13/2019,19:52,Credit card,511.28,25.564,4.6
268-27-6179,Fashion accessories,56.47,8,3/9/2019,14:57,Ewallet,451.76,22.588,7.3
668-90-8900,Home and lifestyle,93.69,7,3/10/2019,18:44,,655.83,32.7915,4.5
870-54-3162,Sports and travel,32.25,5,1/27/2019,13:26,Cash,161.25,8.0625,9
189-08-9157,Fashion accessories,31.73,9,1/8/2019,16:17,Credit card,285.57,14.2785,
663-86-9076,Food and beverages,68.54,8,1/8/2019,15:57,Ewallet,548.32,27.416,8.5
549-84-7482,Sports and travel,90.28,9,2/8/2019,11:15,Ewallet,812.52,40.626,
191-10-6171,Fashion accessories,39.62,7,1/25/2019,13:18,Cash,277.34,13.867,
802-70-5316,Sports and travel,92.13,6,3/6/2019,20:34,Cash,552.78,27.639,8.3
695-51-0018,Sports and travel,34.84,4,2/10/2019,18:36,Cash,139.36,6.968,7.4
590-83-4591,Electronic accessories,87.45,6,2/17/2019,14:40,Credit card,524.7,26.235,8.8
483-71-1164,Health and beauty,81.3,6,3/8/2019,16:43,Ewallet,487.8,24.39,5.3
597-78-7908,Fashion accessories,90.22,3,2/18/2019,19:39,,270.66,13.533,6.2
700-81-1757,Electronic accessories,26.31,5,1/18/2019,20:59,Credit card,131.55,,8.8
354-39-5160,Home and lifestyle,34.42,6,2/18/2019,15:39,Cash,206.52,10.326,9.8
241-72-9525,Sports and travel,51.91,10,2/16/2019,12:21,Cash,519.1,25.955,8.2
575-30-8091,Sports and travel,72.5,8,3/16/2019,19:25,Ewallet,580,29,9.2
731-81-9469,Sports and travel,89.8,10,1/23/2019,13:00,Credit card,898,44.9,5.4
280-17-4359,Health and beauty,90.5,10,1/25/2019,13:48,Cash,905,45.25,8.1
338-65-2210,Health and beauty,68.6,10,2/5/2019,19:57,Cash,686,34.3,9.1
488-25-4221,Food and beverages,30.41,1,2/22/2019,10:36,Credit card,30.41,1.5205,8.4
239-10-7476,Home and lifestyle,77.95,6,1/21/2019,16:37,Ewallet,467.7,,8
458-41-1477,Health and beauty,46.26,6,3/8/2019,17:11,Credit card,277.56,13.878,9.5
685-64-1609,Fashion accessories,30.14,10,2/10/2019,12:28,Ewallet,301.4,15.07,9.2
568-90-5112,Health and beauty,66.14,4,3/19/2019,12:46,Credit card,264.56,13.228,5.6
262-47-2794,Home and lifestyle,71.86,8,3/6/2019,15:07,,574.88,28.744,6.2
238-49-0436,Health and beauty,32.46,8,3/27/2019,13:48,,259.68,12.984,4.9
608-96-3517,Fashion accessories,91.54,4,3/23/2019,19:20,Credit card,366.16,18.308,4.8
584-86-7256,Sports and travel,34.56,7,3/11/2019,16:07,,241.92,,7.3
746-94-0204,Fashion accessories,83.24,9,1/29/2019,11:56,Credit card,749.16,37.458,7.4
214-17-6927,Food and beverages,16.48,6,2/7/2019,18:23,Ewallet,98.88,4.944,9.9
400-89-4171,Sports and travel,80.97,8,1/28/2019,13:05,,647.76,32.388,9.3
782-95-9291,Food and beverages,92.29,5,2/20/2019,15:55,Credit card,461.45,23.0725,9
279-74-2924,Electronic accessories,72.17,1,1/4/2019,19:40,Cash,72.17,3.6085,6.1
307-85-2293,Home and lifestyle,50.28,5,3/7/2019,13:58,Ewallet,251.4,12.57,9.7
743-04-1105,Health and beauty,97.22,9,3/30/2019,14:43,Ewallet,874.98,43.749,6
423-57-2993,Sports and travel,93.39,6,3/27/2019,19:18,Ewallet,560.34,28.017,10
894-41-5205,Food and beverages,43.18,8,1/19/2019,19:39,Credit card,345.44,17.272,8.3
275-28-0149,Sports and travel,63.69,1,2/25/2019,16:21,Cash,63.69,3.1845,6
101-17-6199,Food and beverages,45.79,7,3/13/2019,19:44,Credit card,320.53,16.0265,
423-80-0988,Sports and travel,76.4,2,1/30/2019,19:42,,152.8,,6.5
548-46-9322,Food and beverages,39.9,10,2/20/2019,15:24,Credit card,399,19.95,5.9
505-02-0892,Health and beauty,42.57,8,2/25/2019,14:12,,340.56,17.028,5.6
234-65-2137,Home and lifestyle,95.58,10,1/16/2019,13:32,,955.8,47.79,4.8
687-47-8271,Fashion accessories,98.98,10,2/8/2019,16:20,Credit card,989.8,49.49,8.7
796-32-9050,Food and beverages,51.28,6,1/19/2019,16:31,,307.68,15.384,6.5
105-31-1824,Sports and travel,69.52,7,2/1/2019,15:10,Credit card,486.64,24.332,8.5
249-42-3782,Health and beauty,70.01,5,1/3/2019,11:36,Ewallet,350.05,17.5025,5.5
316-55-4634,Food and beverages,80.05,5,1/26/2019,12:45,Credit card,400.25,20.0125,9.4
733-33-4967,Electronic accessories,20.85,8,3/3/2019,19:17,,166.8,,6.3
608-27-6295,Electronic accessories,52.89,6,1/19/2019,17:34,Credit card,317.34,15.867,9.8
414-12-7047,Food and beverages,19.79,8,1/18/2019,12:04,Ewallet,158.32,,8.7
827-26-2100,Home and lifestyle,33.84,9,3/21/2019,16:21,Ewallet,304.56,15.228,8.8
175-54-2529,Food and beverages,22.17,8,3/3/2019,17:01,Credit card,177.36,8.868,9.6
139-52-2867,Fashion accessories,22.51,7,2/13/2019,10:50,Credit card,157.57,7.8785,4.8
407-63-8975,Food and beverages,73.88,6,3/23/2019,19:16,Ewallet,443.28,22.164,4.4
342-65-4817,Health and beauty,86.8,3,1/28/2019,16:47,Ewallet,260.4,13.02,9.9
130-98-8941,Fashion accessories,64.26,7,2/9/2019,10:00,,449.82,22.491,5.7
434-83-9547,Food and beverages,38.47,8,1/23/2019,11:51,Cash,307.76,,7.7
851-28-6367,Sports and travel,15.5,10,3/23/2019,10:55,Ewallet,155,7.75,8
824-88-3614,Health and beauty,34.31,8,1/25/2019,15:00,Ewallet,274.48,13.724,
586-25-0848,Sports and travel,12.34,7,3/4/2019,11:19,Credit card,86.38,4.319,
895-66-0685,Food and beverages,18.08,3,3/5/2019,19:46,Ewallet,54.24,2.712,8
305-14-0245,Home and lifestyle,94.49,8,3/3/2019,19:00,Ewallet,755.92,37.796,7.5
732-04-5373,Home and lifestyle,46.47,4,2/8/2019,10:53,,185.88,9.294,7
400-60-7251,Home and lifestyle,74.07,1,2/10/2019,12:50,Ewallet,74.07,3.7035,9.9
593-65-1552,Home and lifestyle,69.81,4,1/28/2019,20:50,Credit card,279.24,13.962,5.9
284-34-9626,Home and lifestyle,77.04,3,2/11/2019,10:39,Credit card,231.12,11.556,7.2
437-58-8131,Fashion accessories,73.52,2,1/15/2019,13:41,Ewallet,147.04,7.352,4.6
286-43-6208,Food and beverages,87.8,9,3/16/2019,19:08,Cash,790.2,,9.2
641-43-2399,Home and lifestyle,25.55,4,1/26/2019,20:23,Ewallet,102.2,5.11,5.7
831-07-6050,Electronic accessories,32.71,5,3/19/2019,11:30,Credit card,163.55,8.1775,9.9
556-86-3144,Fashion accessories,74.29,1,1/13/2019,19:30,,74.29,3.7145,5
848-24-9445,Health and beauty,43.7,2,3/26/2019,18:03,,87.4,4.37,4.9
856-22-8149,Home and lifestyle,25.29,1,3/23/2019,10:13,Ewallet,25.29,1.2645,6.1
699-01-4164,Health and beauty,41.5,4,3/12/2019,19:58,,166,8.3,8.2
420-11-4919,Food and beverages,71.39,5,2/17/2019,19:57,Credit card,356.95,17.8475,
606-80-4905,Sports and travel,19.15,6,1/29/2019,10:01,Credit card,114.9,5.745,6.8
542-41-0513,Electronic accessories,57.49,4,3/15/2019,11:57,Cash,229.96,11.498,6.6
426-39-2418,Electronic accessories,61.41,7,1/14/2019,10:02,Cash,429.87,,9.8
875-46-5808,Health and beauty,25.9,10,2/6/2019,14:51,Ewallet,259,12.95,8.7
394-43-4238,Home and lifestyle,17.77,5,2/15/2019,12:42,Credit card,88.85,4.4425,5.4
749-24-1565,Health and beauty,23.03,9,1/3/2019,12:02,Ewallet,207.27,10.3635,7.9
672-51-8681,Electronic accessories,66.65,9,1/4/2019,18:19,,599.85,29.9925,9.7
263-87-5680,Home and lifestyle,28.53,10,3/18/2019,17:38,Ewallet,285.3,14.265,
573-58-9734,Fashion accessories,30.37,3,3/28/2019,13:41,Ewallet,91.11,4.5555,5.1
817-69-8206,Electronic accessories,99.73,9,3/2/2019,19:42,,897.57,44.8785,
888-02-0338,Electronic accessories,26.23,9,1/25/2019,20:24,Ewallet,236.07,,5.9
677-11-0152,Food and beverages,93.26,9,1/16/2019,18:08,Cash,839.34,41.967,8.8
142-63-6033,Home and lifestyle,92.36,5,3/20/2019,19:17,Ewallet,461.8,23.09,4.9
656-16-1063,Sports and travel,46.42,3,1/4/2019,13:24,Credit card,139.26,6.963,
891-58-8335,Sports and travel,29.61,7,3/11/2019,15:53,Cash,207.27,10.3635,6.5
802-43-8934,Home and lifestyle,18.28,1,3/22/2019,15:05,Credit card,18.28,0.914,8.3
560-30-5617,Sports and travel,24.77,5,3/24/2019,18:27,Cash,123.85,6.1925,8.5
319-74-2561,Electronic accessories,94.64,3,2/21/2019,16:55,Cash,283.92,14.196,5.5
549-03-9315,Fashion accessories,94.87,8,2/12/2019,12:58,Ewallet,758.96,37.948,8.7
790-29-1172,Food and beverages,57.34,3,3/10/2019,18:59,Credit card,172.02,8.601,7.9
239-36-3640,Electronic accessories,45.35,6,1/31/2019,13:44,,272.1,13.605,6.1
468-01-2051,Food and beverages,62.08,7,3/6/2019,13:46,,434.56,21.728,5.4
389-25-3394,Electronic accessories,11.81,5,2/17/2019,18:06,Cash,59.05,2.9525,9.4
279-62-1445,Fashion accessories,12.54,1,2/21/2019,12:38,,12.54,0.627,8.2
213-72-6612,Food and beverages,43.25,2,3/20/2019,15:56,Cash,86.5,4.325,6.2
746-68-6593,Sports and travel,87.16,2,1/11/2019,14:29,Credit card,174.32,8.716,9.7
836-82-5858,Health and beauty,69.37,9,1/26/2019,19:14,,624.33,31.2165,4
583-72-1480,Electronic accessories,37.06,4,1/31/2019,16:24,Ewallet,148.24,7.412,9.7
466-61-5506,Electronic accessories,90.7,6,2/26/2019,10:52,Cash,544.2,27.21,5.3
721-86-6247,Home and lifestyle,63.42,8,3/11/2019,12:55,Ewallet,507.36,25.368,
289-65-5721,Fashion accessories,81.37,2,1/26/2019,19:28,Cash,162.74,,6.5
545-46-3100,Electronic accessories,10.59,3,3/12/2019,13:52,,31.77,1.5885,8.7
418-02-5978,Health and beauty,84.09,9,2/11/2019,10:54,Cash,756.81,37.8405,8
269-04-5750,Fashion accessories,73.82,4,2/21/2019,18:31,Cash,295.28,14.764,6.7
157-13-5295,Health and beauty,51.94,10,3/9/2019,18:24,Ewallet,519.4,25.97,6.5
645-78-8093,Sports and travel,93.14,2,1/20/2019,18:09,Ewallet,186.28,9.314,4.1
211-30-9270,Health and beauty,17.41,5,1/28/2019,15:16,,87.05,4.3525,4.9
755-12-3214,Fashion accessories,44.22,5,3/5/2019,17:07,Credit card,221.1,11.055,8.6
346-84-3103,Electronic accessories,13.22,5,3/2/2019,19:26,Cash,66.1,3.305,4.3
478-06-7835,Fashion accessories,89.69,1,1/11/2019,11:20,Ewallet,89.69,4.4845,4.9
540-11-4336,Food and beverages,24.94,9,1/11/2019,16:49,Credit card,224.46,,5.6
448-81-5016,Health and beauty,59.77,2,3/11/2019,12:01,Credit card,119.54,5.977,5.8
142-72-4741,Fashion accessories,93.2,2,2/28/2019,18:37,,186.4,9.32,
217-58-1179,Home and lifestyle,62.65,4,1/5/2019,11:25,Cash,250.6,12.53,
376-02-8238,Home and lifestyle,93.87,8,2/2/2019,18:42,Credit card,750.96,37.548,8.3
530-90-9855,Home and lifestyle,47.59,8,1/1/2019,14:47,,380.72,,5.7
866-05-7563,Electronic accessories,81.4,3,2/9/2019,19:43,Cash,244.2,12.21,4.8
604-70-6476,Fashion accessories,17.94,5,1/23/2019,14:04,Ewallet,89.7,4.485,
799-71-1548,Electronic accessories,77.72,4,1/7/2019,16:11,,310.88,,8.8
785-13-7708,Food and beverages,73.06,7,1/14/2019,19:06,Credit card,511.42,25.571,4.2
,,,,,,,,,6.4192
