"","Invoice.ID","Product.line","Unit.price","Quantity","Date","Time","Payment","cogs","gross.income","Rating","Quantity.Disc","Unit.Price.Disc","Rating.Disc","total_price","tax_5percent"
"48","727-46-3608","Food and beverages",20.01,9,"2/6/2019","15:47","Ewallet",180.09,17.7427113636364,4.1,"Sangat Banyak","Sangat Murah","Sangat Buruk",0.171448744448765,0.171448744448765
"49","669-54-1719","Electronic accessories",18.93,6,"2/10/2019","12:45","Credit card",113.58,5.679,8.1,"Banyak","Sangat Murah","Bagus",0.103391113930786,0.103391113930786
"50","574-22-5561","Fashion accessories",82.63,10,"3/19/2019","17:08","Ewallet",826.3,41.315,7.9,"Sangat Banyak","Mahal","Bagus",0.832695495569244,0.832695495569244
"51","326-78-5178","Food and beverages",91.4,7,"2/3/2019","10:19","Cash",639.8,31.99,9.5,"Banyak","Mahal","Sangat Bagus",0.641855800912756,0.641855800912755
"52","162-48-8011","Food and beverages",44.59,5,"2/10/2019","15:10","Cash",222.95,17.7427113636364,8.5,"Sedang","Murah","Bagus",0.215306059799849,0.215306059799848
"53","616-24-2851","Fashion accessories",17.87,4,"3/22/2019","14:42","Ewallet",71.48,3.574,6.5,"Sedang","Sangat Murah","Normal",0.0603114831262919,0.0603114831262917
"54","778-71-5554","Fashion accessories",15.43,1,"1/25/2019","15:46","Credit card",15.43,0.7715,6.1,"Sedikit","Sangat Murah","Buruk",0.00295724781532038,0.00295724781532036
"55","242-55-6721","Home and lifestyle",16.16,2,"3/7/2019","11:49","Ewallet",32.32,1.616,6.5,"Sedikit","Sangat Murah","Normal",0.0202402635941305,0.0202402635941305
"56","399-46-5918","Electronic accessories",85.98,8,"2/28/2019","19:01","",687.84,34.392,8.2,"Sangat Banyak","Mahal","Bagus",0.691013650410331,0.69101365041033
"57","106-35-6779","Home and lifestyle",44.34,2,"3/27/2019","11:26","Cash",88.68,4.434,5.8,"Sedikit","Murah","Buruk",0.0779117123385793,0.077911712338579
"58","635-40-6220","Health and beauty",89.6,8,"2/7/2019","11:28","",716.8,35.84,6.6,"Sangat Banyak","Mahal","Normal",0.720647524711949,0.720647524711949
"59","817-48-8732","Home and lifestyle",72.35,10,"1/20/2019","15:55","Cash",723.5,36.175,5.4,"Sangat Banyak","Sedang","Buruk",0.72750342795162,0.727503427951619
"60","120-06-4233","Electronic accessories",30.61,6,"3/12/2019","20:36","Cash",183.66,17.7427113636364,9.3,"Banyak","Sangat Murah","Sangat Bagus",0.175101815279455,0.175101815279455
"61","285-68-5083","Sports and travel",24.74,3,"2/15/2019","17:47","Credit card",74.22,3.711,10,"Sedikit","Sangat Murah","Sangat Bagus",0.0631152405705749,0.0631152405705747
"62","803-83-5989","Home and lifestyle",55.73,6,"2/24/2019","10:55","Ewallet",334.38,16.719,7,"Banyak","Sedang","Normal",0.329328940097824,0.329328940097824
"63","347-34-2234","Sports and travel",55.07,9,"2/3/2019","13:40","Ewallet",495.63,24.7815,10,"Sangat Banyak","Murah","Sangat Bagus",0.494331088963019,0.494331088963019
"64","199-75-8169","Sports and travel",15.81,10,"3/6/2019","12:27","Credit card",158.1,7.905,8.6,"Sangat Banyak","Sangat Murah","Bagus",0.148947056054683,0.148947056054683
"65","853-23-2453","Health and beauty",75.74,4,"2/14/2019","14:35","Cash",302.96,17.7427113636364,7.6,"Sedang","Sedang","Bagus",0.297177823711192,0.297177823711192
"66","877-22-3308","Health and beauty",15.87,10,"3/13/2019","16:40","",158.7,7.935,5.8,"Sangat Banyak","Sangat Murah","Buruk",0.149561017538833,0.149561017538833
"67","838-78-4295","Health and beauty",33.47,2,"2/10/2019","15:43","Ewallet",66.94,3.347,6.7,"Sedikit","Murah","Normal",0.0556658412295602,0.0556658412295602
"68","109-28-2512","Fashion accessories",97.61,6,"1/7/2019","15:01","Ewallet",585.66,29.283,9.9,"Banyak","Mahal","Sangat Bagus",0.58645600965966,0.586456009659659
"69","232-11-3025","Sports and travel",78.77,10,"1/24/2019","10:04","Cash",787.7,39.385,6.5,"Sangat Banyak","Mahal","Normal",0.793197306755622,0.793197306755621
"70","382-03-4532","Health and beauty",18.33,1,"2/2/2019","18:50","Cash",18.33,0.9165,4.3,"Sedikit","Sangat Murah","Sangat Buruk",0.00592472832204326,0.00592472832204322
"71","393-65-2792","Food and beverages",89.48,10,"1/6/2019","12:46","Credit card",894.8,44.74,9.6,"Sangat Banyak","Mahal","Sangat Bagus",0.902789431676319,0.902789431676317
"72","796-12-2025","Fashion accessories",62.12,10,"2/11/2019","16:19","Cash",621.2,31.06,6.5,"Sangat Banyak","Sedang","Normal",0.62282299490412,0.622822994904119
"73","510-95-6347","Food and beverages",48.52,3,"3/5/2019","18:17","Ewallet",145.56,7.278,4,"Sedikit","Murah","Sangat Buruk",0.136115261035958,0.136115261035958
"74","841-35-6630","Electronic accessories",75.91,6,"3/9/2019","18:21","Cash",455.46,22.773,8.7,"Banyak","Sedang","Bagus",0.453226367599206,0.453226367599205
"75","287-21-9091","Home and lifestyle",74.67,9,"1/22/2019","10:55","",672.03,33.6015,9.4,"Sangat Banyak","Sedang","Sangat Bagus",0.67483576530299,0.674835765302988
"76","732-94-0499","Electronic accessories",41.65,10,"1/13/2019","17:04","Credit card",416.5,20.825,5.4,"Sangat Banyak","Murah","Buruk",0.413359801895094,0.413359801895094
"77","263-10-3913","Fashion accessories",49.04,9,"1/9/2019","14:20","Credit card",441.36,17.7427113636364,8.6,"Sangat Banyak","Murah","Bagus",0.438798272721691,0.438798272721691
"78","381-20-0914","Fashion accessories",20.01,9,"1/12/2019","15:48","Credit card",180.09,17.7427113636364,5.7,"Sangat Banyak","Sangat Murah","Buruk",0.171448744448765,0.171448744448765
"79","829-49-1914","Food and beverages",78.31,10,"3/5/2019","16:24","Ewallet",783.1,39.155,6.6,"Sangat Banyak","Mahal","Normal",0.788490268710476,0.788490268710476
"80","756-01-7507","Health and beauty",20.38,5,"1/22/2019","18:56","Cash",101.9,5.095,6,"Sedang","Sangat Murah","Buruk",0.0914393303726746,0.0914393303726744
"81","870-72-4431","Health and beauty",99.19,6,"1/21/2019","14:42","Credit card",595.14,29.757,5.5,"Banyak","Mahal","Buruk",0.596156601109224,0.596156601109224
"82","847-38-7188","Food and beverages",96.68,3,"1/26/2019","19:56","Ewallet",290.04,14.502,6.4,"Sedikit","Mahal","Normal",0.283957186419172,0.283957186419171
"83","480-63-2856","Food and beverages",19.25,8,"1/23/2019","18:37","Ewallet",154,7.7,6.6,"Sangat Banyak","Sangat Murah","Normal",0.144751652579661,0.144751652579661
"84","787-56-0757","Food and beverages",80.36,4,"2/23/2019","18:45","Credit card",321.44,16.072,8.3,"Sedang","Mahal","Bagus",0.316087837422999,0.316087837422998
"85","360-39-5055","Sports and travel",48.91,5,"3/9/2019","10:17","Cash",244.55,12.2275,6.6,"Sedang","Murah","Normal",0.237408673229233,0.237408673229232
"86","730-50-9884","Sports and travel",83.06,7,"3/5/2019","14:31","Ewallet",581.42,29.071,4,"Banyak","Mahal","Sangat Buruk",0.582117348505004,0.582117348505003
"87","362-58-8315","Fashion accessories",76.52,5,"3/25/2019","10:23","Cash",382.6,19.13,9.9,"Sedang","Sedang","Sangat Bagus",0.378670978040644,0.378670978040643
"88","633-44-8566","Food and beverages",49.38,7,"3/27/2019","20:35","Credit card",345.66,17.283,7.3,"Banyak","Murah","Normal",0.340871415999836,0.340871415999836
"89","504-35-8843","Sports and travel",42.47,1,"1/2/2019","16:57","Cash",42.47,2.1235,5.7,"Sedikit","Murah","Buruk",0.0306264453676606,0.0306264453676605
"90","318-68-5053","Health and beauty",76.99,6,"2/27/2019","17:55","Cash",461.94,23.097,6.1,"Banyak","Sedang","Buruk",0.459857151628021,0.459857151628021
"91","565-80-5980","Home and lifestyle",47.38,4,"1/23/2019","10:25","Cash",189.52,9.476,7.1,"Sedang","Murah","Normal",0.181098172441315,0.181098172441315
"92","225-32-0908","Sports and travel",44.86,10,"1/26/2019","19:54","Ewallet",448.6,22.43,8.2,"Sangat Banyak","Murah","Bagus",0.446206741297096,0.446206741297095
"93","873-51-0671","Sports and travel",21.98,7,"1/10/2019","16:42","",153.86,17.7427113636364,5.1,"Banyak","Sangat Murah","Sangat Buruk",0.144608394900027,0.144608394900026
"94","152-08-9985","Health and beauty",64.36,9,"3/12/2019","12:09","Credit card",579.24,28.962,8.6,"Sangat Banyak","Sedang","Bagus",0.57988662177926,0.579886621779259
"95","512-91-0811","Health and beauty",89.75,1,"2/6/2019","20:05","Credit card",89.75,4.4875,6.6,"Sedikit","Mahal","Normal",0.079006610318646,0.0790066103186457
"96","594-34-4444","Electronic accessories",97.16,1,"3/8/2019","20:38","",97.16,4.858,7.2,"Sedikit","Mahal","Normal",0.0865890346478931,0.0865890346478929
"97","766-85-7061","Health and beauty",87.87,10,"3/29/2019","10:25","Ewallet",878.7,43.935,5.1,"Sangat Banyak","Mahal","Sangat Buruk",0.886314798518306,0.886314798518305
"98","871-39-9221","Electronic accessories",12.45,6,"2/9/2019","13:11","Cash",74.7,3.735,4.1,"Banyak","Sangat Murah","Sangat Buruk",0.0636064097578945,0.0636064097578943
"99","865-92-6136","Food and beverages",52.75,3,"3/23/2019","10:16","",158.25,7.9125,9.3,"Sedikit","Murah","Sangat Bagus",0.149100546425721,0.14910054642572
"100","733-01-9107","Home and lifestyle",82.7,6,"3/5/2019","18:14","Cash",496.2,24.81,7.4,"Banyak","Mahal","Normal",0.494914352372961,0.494914352372961
"101","163-56-7055","Fashion accessories",48.71,1,"3/26/2019","19:20","Cash",48.71,2.4355,4.1,"Sedikit","Murah","Sangat Buruk",0.037011644802816,0.037011644802816
"102","189-98-2939","Fashion accessories",78.55,9,"3/1/2019","13:22","",706.95,35.3475,7.2,"Sangat Banyak","Mahal","Normal",0.710568323680494,0.710568323680494
"103","551-21-3069","Electronic accessories",23.07,9,"2/1/2019","11:27","Cash",207.63,10.3815,4.9,"Sangat Banyak","Sangat Murah","Sangat Buruk",0.19962957657123,0.19962957657123
"104","212-62-1842","Food and beverages",58.26,6,"3/28/2019","16:44","Cash",349.56,17.478,9.9,"Banyak","Sedang","Sangat Bagus",0.344862165646808,0.344862165646808
"105","716-39-1409","Health and beauty",30.35,7,"3/19/2019","18:19","Cash",212.45,10.6225,8,"Banyak","Sangat Murah","Bagus",0.204561733827231,0.204561733827231
"106","704-48-3927","Electronic accessories",88.67,10,"1/12/2019","14:50","Ewallet",886.7,44.335,7.3,"Sangat Banyak","Mahal","Normal",0.8945009516403,0.894500951640299
"107","628-34-3388","Fashion accessories",27.38,6,"1/5/2019","20:54","",164.28,8.214,7.9,"Banyak","Sangat Murah","Bagus",0.155270859341424,0.155270859341424
"108","630-74-5166","Sports and travel",62.13,6,"3/22/2019","20:19","Cash",372.78,17.7427113636364,7.4,"Banyak","Sedang","Normal",0.368622475083396,0.368622475083396
"109","588-01-7461","Food and beverages",33.98,9,"3/24/2019","10:43","Cash",305.82,15.291,4.2,"Sangat Banyak","Murah","Sangat Buruk",0.300104373452305,0.300104373452305
"110","861-77-0145","Electronic accessories",81.97,10,"3/3/2019","14:30","Cash",819.7,40.985,9.2,"Sangat Banyak","Mahal","Sangat Bagus",0.825941919243599,0.825941919243598
"111","479-26-8945","Sports and travel",16.49,2,"2/5/2019","11:32","Ewallet",32.98,1.649,4.6,"Sedikit","Sangat Murah","Sangat Buruk",0.020915621226695,0.020915621226695
"112","210-67-5886","Health and beauty",98.21,3,"2/5/2019","10:41","Credit card",294.63,14.7315,7.8,"Sedikit","Mahal","Bagus",0.288653991772916,0.288653991772916
"113","227-78-1148","Fashion accessories",72.84,7,"2/15/2019","12:44","Cash",509.88,25.494,8.4,"Banyak","Sedang","Bagus",0.508912674211571,0.50891267421157
"114","645-44-1170","Home and lifestyle",58.07,9,"1/19/2019","20:07","Ewallet",522.63,26.1315,4.3,"Sangat Banyak","Sedang","Sangat Buruk",0.521959355749749,0.521959355749749
"115","237-01-6122","Home and lifestyle",80.79,9,"2/1/2019","20:31","Credit card",727.11,36.3555,9.5,"Sangat Banyak","Mahal","Sangat Bagus",0.731197429547919,0.731197429547918
"116","225-98-1496","Fashion accessories",27.02,3,"3/2/2019","13:01","Credit card",81.06,4.053,7.1,"Sedikit","Sangat Murah","Normal",0.0701144014898799,0.0701144014898796
"117","291-32-1427","Fashion accessories",21.94,5,"3/5/2019","12:29","",109.7,5.485,6.5,"Sedang","Sangat Murah","Normal",0.0994208296666189,0.0994208296666186
"118","659-65-8956","Fashion accessories",51.36,1,"1/16/2019","15:26","Ewallet",51.36,2.568,6.5,"Sedikit","Murah","Normal",0.0397233080244766,0.0397233080244766
"119","642-32-2990","Food and beverages",10.96,10,"2/2/2019","20:48","Ewallet",109.6,5.48,6,"Sangat Banyak","Sangat Murah","Buruk",0.099318502752594,0.0993185027525938
"120","378-24-2715","Home and lifestyle",53.44,2,"1/20/2019","20:38","Ewallet",106.88,17.7427113636364,4.1,"Sedikit","Murah","Sangat Buruk",0.096535210691116,0.0965352106911159
"121","638-60-7125","Electronic accessories",99.56,8,"2/14/2019","17:03","Credit card",796.48,39.824,5.2,"Sangat Banyak","Mahal","Buruk",0.802181609807011,0.802181609807011
"122","659-36-1684","Sports and travel",57.12,7,"1/12/2019","12:02","",399.84,19.992,6.5,"Banyak","Sedang","Normal",0.396312138018542,0.396312138018541
"123","219-22-9386","Sports and travel",99.96,9,"3/9/2019","17:26","Credit card",899.64,44.982,4.2,"Sangat Banyak","Mahal","Sangat Buruk",0.907742054315126,0.907742054315125
"124","336-78-2147","Home and lifestyle",63.91,8,"3/13/2019","19:52","Credit card",511.28,25.564,4.6,"Sangat Banyak","Sedang","Sangat Buruk",0.51034525100792,0.510345251007918
"125","268-27-6179","Fashion accessories",56.47,8,"3/9/2019","14:57","Ewallet",451.76,22.588,7.3,"Sangat Banyak","Sedang","Normal",0.449440271780284,0.449440271780283
"126","668-90-8900","Home and lifestyle",93.69,7,"3/10/2019","18:44","",655.83,32.7915,4.5,"Banyak","Mahal","Sangat Buruk",0.658258805230952,0.658258805230951
"127","870-54-3162","Sports and travel",32.25,5,"1/27/2019","13:26","Cash",161.25,8.0625,9,"Sedang","Sangat Murah","Sangat Bagus",0.152170353846469,0.152170353846468
"128","189-08-9157","Fashion accessories",31.73,9,"1/8/2019","16:17","Credit card",285.57,14.2785,6.5,"Sangat Banyak","Sangat Murah","Normal",0.279383173362258,0.279383173362257
"129","663-86-9076","Food and beverages",68.54,8,"1/8/2019","15:57","Ewallet",548.32,27.416,8.5,"Sangat Banyak","Sedang","Bagus",0.548247139962753,0.548247139962753
"130","549-84-7482","Sports and travel",90.28,9,"2/8/2019","11:15","Ewallet",812.52,40.626,6.5,"Sangat Banyak","Mahal","Normal",0.81859484681661,0.818594846816609
"131","191-10-6171","Fashion accessories",39.62,7,"1/25/2019","13:18","Cash",277.34,13.867,6.5,"Banyak","Murah","Normal",0.270961668338006,0.270961668338006
"132","802-70-5316","Sports and travel",92.13,6,"3/6/2019","20:34","Cash",552.78,27.639,8.3,"Banyak","Mahal","Bagus",0.552810920328265,0.552810920328264
"133","695-51-0018","Sports and travel",34.84,4,"2/10/2019","18:36","Cash",139.36,6.968,7.4,"Sedang","Murah","Normal",0.129770992366412,0.129770992366412
"134","590-83-4591","Electronic accessories",87.45,6,"2/17/2019","14:40","Credit card",524.7,26.235,8.8,"Banyak","Mahal","Sangat Bagus",0.524077522870065,0.524077522870064
"135","483-71-1164","Health and beauty",81.3,6,"3/8/2019","16:43","Ewallet",487.8,24.39,5.3,"Banyak","Mahal","Buruk",0.486318891594867,0.486318891594866
"136","597-78-7908","Fashion accessories",90.22,3,"2/18/2019","19:39","",270.66,13.533,6.2,"Sedikit","Mahal","Buruk",0.264126230481141,0.264126230481141
"137","700-81-1757","Electronic accessories",26.31,5,"1/18/2019","20:59","Credit card",131.55,17.7427113636364,8.8,"Sedang","Sangat Murah","Sangat Bagus",0.121779260381065,0.121779260381065
"138","354-39-5160","Home and lifestyle",34.42,6,"2/18/2019","15:39","Cash",206.52,10.326,9.8,"Banyak","Murah","Sangat Bagus",0.198493747825553,0.198493747825553
"139","241-72-9525","Sports and travel",51.91,10,"2/16/2019","12:21","Cash",519.1,25.955,8.2,"Sangat Banyak","Murah","Bagus",0.518347215684669,0.518347215684669
"140","575-30-8091","Sports and travel",72.5,8,"3/16/2019","19:25","Ewallet",580,29,9.2,"Sangat Banyak","Sedang","Sangat Bagus",0.58066430632585,0.580664306325848
"141","731-81-9469","Sports and travel",89.8,10,"1/23/2019","13:00","Credit card",898,44.9,5.4,"Sangat Banyak","Mahal","Buruk",0.906063892925117,0.906063892925117
"142","280-17-4359","Health and beauty",90.5,10,"1/25/2019","13:48","Cash",905,45.25,8.1,"Sangat Banyak","Mahal","Bagus",0.913226776906862,0.91322677690686
"143","338-65-2210","Health and beauty",68.6,10,"2/5/2019","19:57","Cash",686,34.3,9.1,"Sangat Banyak","Sedang","Sangat Bagus",0.689130835192272,0.689130835192272
"144","488-25-4221","Food and beverages",30.41,1,"2/22/2019","10:36","Credit card",30.41,1.5205,8.4,"Sedikit","Sangat Murah","Bagus",0.0182858195362544,0.0182858195362544
"145","239-10-7476","Home and lifestyle",77.95,6,"1/21/2019","16:37","Ewallet",467.7,17.7427113636364,8,"Banyak","Mahal","Bagus",0.465751181875857,0.465751181875857
"146","458-41-1477","Health and beauty",46.26,6,"3/8/2019","17:11","Credit card",277.56,13.878,9.5,"Banyak","Murah","Sangat Bagus",0.271186787548861,0.27118678754886
"147","685-64-1609","Fashion accessories",30.14,10,"2/10/2019","12:28","Ewallet",301.4,15.07,9.2,"Sangat Banyak","Sangat Murah","Sangat Bagus",0.295581523852404,0.295581523852403
"148","568-90-5112","Health and beauty",66.14,4,"3/19/2019","12:46","Credit card",264.56,13.228,5.6,"Sedang","Sedang","Buruk",0.257884288725621,0.25788428872562
"149","262-47-2794","Home and lifestyle",71.86,8,"3/6/2019","15:07","",574.88,28.744,6.2,"Sangat Banyak","Sedang","Buruk",0.575425168327773,0.575425168327773
"150","238-49-0436","Health and beauty",32.46,8,"3/27/2019","13:48","",259.68,12.984,4.9,"Sangat Banyak","Sangat Murah","Sangat Buruk",0.252890735321204,0.252890735321204
"151","608-96-3517","Fashion accessories",91.54,4,"3/23/2019","19:20","Credit card",366.16,18.308,4.8,"Sedang","Mahal","Sangat Buruk",0.361848433374946,0.361848433374945
"152","584-86-7256","Sports and travel",34.56,7,"3/11/2019","16:07","",241.92,17.7427113636364,7.3,"Banyak","Murah","Normal",0.234717475390377,0.234717475390377
"153","746-94-0204","Fashion accessories",83.24,9,"1/29/2019","11:56","Credit card",749.16,37.458,7.4,"Sangat Banyak","Mahal","Normal",0.753760514090416,0.753760514090416
"154","214-17-6927","Food and beverages",16.48,6,"2/7/2019","18:23","Ewallet",98.88,4.944,9.9,"Banyak","Sangat Murah","Sangat Bagus",0.0883490575691218,0.0883490575691216
"155","400-89-4171","Sports and travel",80.97,8,"1/28/2019","13:05","",647.76,32.388,9.3,"Sangat Banyak","Mahal","Sangat Bagus",0.65000102326914,0.650001023269139
"156","782-95-9291","Food and beverages",92.29,5,"2/20/2019","15:55","Credit card",461.45,23.0725,9,"Sedang","Mahal","Sangat Bagus",0.459355749749299,0.459355749749299
