Invoice ID,Branch,City,Customer type,Gender
659-36-1684,C,Naypyitaw,Member,Male
219-22-9386,B,Mandalay,Member,Male
336-78-2147,C,Naypyitaw,Member,Male
268-27-6179,B,Mandalay,Member,Female
668-90-8900,A,Yangon,Normal,Female
870-54-3162,A,Yangon,Normal,Female
189-08-9157,C,Naypyitaw,Normal,Female
663-86-9076,C,Naypyitaw,Member,Female
549-84-7482,B,Mandalay,Normal,Female
191-10-6171,B,Mandalay,Normal,Female
802-70-5316,A,Yangon,Member,Female
695-51-0018,B,Mandalay,Normal,Female
590-83-4591,B,Mandalay,Member,Male
483-71-1164,C,Naypyitaw,Normal,Female
597-78-7908,C,Naypyitaw,Normal,Male
700-81-1757,A,Yangon,Normal,Female
354-39-5160,A,Yangon,Member,Female
241-72-9525,B,Mandalay,Normal,Male
575-30-8091,A,Yangon,Normal,Male
731-81-9469,C,Naypyitaw,Member,Female
280-17-4359,C,Naypyitaw,Member,Male
338-65-2210,C,Naypyitaw,Member,Female
488-25-4221,C,Naypyitaw,,Female
239-10-7476,A,Yangon,Normal,Female
458-41-1477,C,Naypyitaw,Normal,Female
685-64-1609,A,Yangon,Member,Female
568-90-5112,C,Naypyitaw,,Male
262-47-2794,B,Mandalay,Member,Male
238-49-0436,A,Yangon,Normal,Male
608-96-3517,B,Mandalay,Member,Female
584-86-7256,C,Naypyitaw,Member,Male
746-94-0204,A,Yangon,Normal,Male
214-17-6927,C,Naypyitaw,,Female
400-89-4171,C,Naypyitaw,Normal,Female
782-95-9291,A,Yangon,Member,Male
279-74-2924,B,Mandalay,Member,Male
307-85-2293,B,Mandalay,Normal,Male
743-04-1105,B,Mandalay,Member,Male
423-57-2993,B,Mandalay,Normal,Male
894-41-5205,C,Naypyitaw,,Female
275-28-0149,A,Yangon,Normal,Male
101-17-6199,A,Yangon,Normal,Male
423-80-0988,C,Naypyitaw,Normal,Male
548-46-9322,B,Mandalay,Normal,Male
505-02-0892,B,Mandalay,Member,Male
234-65-2137,C,Naypyitaw,Normal,Male
687-47-8271,A,Yangon,Normal,Male
796-32-9050,A,Yangon,Normal,Male
105-31-1824,A,Yangon,,Male
249-42-3782,A,Yangon,Normal,Male
316-55-4634,B,Mandalay,Member,Male
733-33-4967,C,Naypyitaw,Normal,Male
608-27-6295,B,Mandalay,Member,Male
414-12-7047,B,Mandalay,Normal,Male
827-26-2100,A,Yangon,Member,Male
175-54-2529,A,Yangon,Member,Male
139-52-2867,C,Naypyitaw,Normal,Female
407-63-8975,A,Yangon,,Male
342-65-4817,C,Naypyitaw,Member,Male
130-98-8941,C,Naypyitaw,Normal,Male
434-83-9547,C,Naypyitaw,,Male
851-28-6367,A,Yangon,Member,Male
824-88-3614,C,Naypyitaw,,Male
586-25-0848,A,Yangon,Normal,Female
895-66-0685,B,Mandalay,,Male
305-14-0245,B,Mandalay,Member,Female
732-04-5373,B,Mandalay,Member,Male
400-60-7251,A,Yangon,Normal,Male
593-65-1552,C,Naypyitaw,Normal,Female
284-34-9626,B,Mandalay,Normal,Female
437-58-8131,B,Mandalay,Normal,Female
286-43-6208,C,Naypyitaw,Normal,Female
641-43-2399,B,Mandalay,Normal,Male
831-07-6050,A,Yangon,Normal,Male
556-86-3144,C,Naypyitaw,Member,Female
848-24-9445,C,Naypyitaw,Member,Male
856-22-8149,A,Yangon,Normal,Female
699-01-4164,C,Naypyitaw,Normal,Male
420-11-4919,C,Naypyitaw,Member,Female
606-80-4905,C,Naypyitaw,Member,Female
542-41-0513,B,Mandalay,Member,Female
426-39-2418,C,Naypyitaw,Normal,Male
875-46-5808,B,Mandalay,Member,Male
394-43-4238,B,Mandalay,Member,Male
749-24-1565,A,Yangon,,Female
672-51-8681,C,Naypyitaw,,Female
263-87-5680,C,Naypyitaw,Member,Female
573-58-9734,B,Mandalay,Normal,Female
817-69-8206,B,Mandalay,Normal,Female
888-02-0338,A,Yangon,,Male
677-11-0152,C,Naypyitaw,Normal,Female
142-63-6033,B,Mandalay,Normal,Male
656-16-1063,B,Mandalay,Normal,Male
891-58-8335,B,Mandalay,Member,Female
802-43-8934,A,Yangon,,Male
560-30-5617,B,Mandalay,,Female
319-74-2561,A,Yangon,Member,Female
549-03-9315,B,Mandalay,Normal,Male
790-29-1172,B,Mandalay,Normal,Female
239-36-3640,B,Mandalay,Normal,Male
468-01-2051,B,Mandalay,Normal,Male
389-25-3394,C,Naypyitaw,Normal,Male
279-62-1445,C,Naypyitaw,,Female
213-72-6612,A,Yangon,Normal,Male
746-68-6593,C,Naypyitaw,Member,Female
836-82-5858,B,Mandalay,Member,Male
583-72-1480,C,Naypyitaw,,Male
466-61-5506,B,Mandalay,,Female
721-86-6247,A,Yangon,Normal,Female
289-65-5721,B,Mandalay,Normal,Female
545-46-3100,B,Mandalay,Member,Female
418-02-5978,B,Mandalay,Normal,Female
269-04-5750,B,Mandalay,Member,Male
157-13-5295,A,Yangon,Member,Male
645-78-8093,A,Yangon,Normal,Female
211-30-9270,C,Naypyitaw,Normal,Male
755-12-3214,C,Naypyitaw,Member,Female
346-84-3103,B,Mandalay,Member,Female
478-06-7835,A,Yangon,,Male
540-11-4336,A,Yangon,Normal,Male
448-81-5016,A,Yangon,,Male
142-72-4741,C,Naypyitaw,Member,Male
217-58-1179,A,Yangon,Member,Male
376-02-8238,B,Mandalay,,Male
530-90-9855,A,Yangon,Member,Male
866-05-7563,B,Mandalay,Member,Female
604-70-6476,A,Yangon,Member,Male
799-71-1548,A,Yangon,Member,Male
785-13-7708,B,Mandalay,,Male
,,,95,
,,,156,
