"","Invoice.ID","Branch","City","Customer.type","Gender"
"85","360-39-5055","C","Naypyitaw","Member","Male"
"86","730-50-9884","C","Naypyitaw","Normal","Female"
"87","362-58-8315","C","Naypyitaw","Normal","Male"
"88","633-44-8566","A","Yangon","Member","Male"
"89","504-35-8843","A","Yangon","Normal","Male"
"90","318-68-5053","B","Mandalay","Normal","Female"
"91","565-80-5980","C","Naypyitaw","Member","Female"
"92","225-32-0908","C","Naypyitaw","Normal","Female"
"93","873-51-0671","A","Yangon","Member","Female"
"94","152-08-9985","B","Mandalay","Member","Male"
"95","512-91-0811","C","Naypyitaw","Normal","Male"
"96","594-34-4444","A","Yangon","Normal","Male"
"97","766-85-7061","B","Mandalay","Normal","Male"
"98","871-39-9221","C","Naypyitaw","","Female"
"99","865-92-6136","A","Yangon","Normal","Male"
"100","733-01-9107","B","Mandalay","Normal","Male"
"101","163-56-7055","C","Naypyitaw","Member","Male"
"102","189-98-2939","C","Naypyitaw","","Male"
"103","551-21-3069","C","Naypyitaw","Normal","Female"
"104","212-62-1842","A","Yangon","Normal","Male"
"105","716-39-1409","B","Mandalay","Normal","Male"
"106","704-48-3927","A","Yangon","Member","Male"
"107","628-34-3388","C","Naypyitaw","Normal","Male"
"108","630-74-5166","A","Yangon","Normal","Male"
"109","588-01-7461","C","Naypyitaw","Normal","Female"
"110","861-77-0145","C","Naypyitaw","","Male"
"111","479-26-8945","B","Mandalay","Member","Female"
"112","210-67-5886","C","Naypyitaw","Member","Female"
"113","227-78-1148","B","Mandalay","Normal","Female"
"114","645-44-1170","A","Yangon","Member","Male"
"115","237-01-6122","C","Naypyitaw","","Female"
"116","225-98-1496","C","Naypyitaw","Normal","Female"
"117","291-32-1427","B","Mandalay","Member","Male"
"118","659-65-8956","B","Mandalay","","Male"
"119","642-32-2990","A","Yangon","Normal","Female"
"120","378-24-2715","B","Mandalay","Normal","Male"
"121","638-60-7125","A","Yangon","Normal","Female"
"122","659-36-1684","C","Naypyitaw","Member","Male"
"123","219-22-9386","B","Mandalay","Member","Male"
"124","336-78-2147","C","Naypyitaw","Member","Male"
"125","268-27-6179","B","Mandalay","Member","Female"
"126","668-90-8900","A","Yangon","Normal","Female"
"127","870-54-3162","A","Yangon","Normal","Female"
"128","189-08-9157","C","Naypyitaw","Normal","Female"
"129","663-86-9076","C","Naypyitaw","Member","Female"
"130","549-84-7482","B","Mandalay","Normal","Female"
"131","191-10-6171","B","Mandalay","Normal","Female"
"132","802-70-5316","A","Yangon","Member","Female"
"133","695-51-0018","B","Mandalay","Normal","Female"
"134","590-83-4591","B","Mandalay","Member","Male"
"135","483-71-1164","C","Naypyitaw","Normal","Female"
"136","597-78-7908","C","Naypyitaw","Normal","Male"
"137","700-81-1757","A","Yangon","Normal","Female"
"138","354-39-5160","A","Yangon","Member","Female"
"139","241-72-9525","B","Mandalay","Normal","Male"
"140","575-30-8091","A","Yangon","Normal","Male"
"141","731-81-9469","C","Naypyitaw","Member","Female"
"142","280-17-4359","C","Naypyitaw","Member","Male"
"143","338-65-2210","C","Naypyitaw","Member","Female"
"144","488-25-4221","C","Naypyitaw","","Female"
"145","239-10-7476","A","Yangon","Normal","Female"
"146","458-41-1477","C","Naypyitaw","Normal","Female"
"147","685-64-1609","A","Yangon","Member","Female"
"148","568-90-5112","C","Naypyitaw","","Male"
"149","262-47-2794","B","Mandalay","Member","Male"
"150","238-49-0436","A","Yangon","Normal","Male"
"151","608-96-3517","B","Mandalay","Member","Female"
"152","584-86-7256","C","Naypyitaw","Member","Male"
"153","746-94-0204","A","Yangon","Normal","Male"
"154","214-17-6927","C","Naypyitaw","","Female"
"155","400-89-4171","C","Naypyitaw","Normal","Female"
"156","782-95-9291","A","Yangon","Member","Male"
"157","279-74-2924","B","Mandalay","Member","Male"
"158","307-85-2293","B","Mandalay","Normal","Male"
"159","743-04-1105","B","Mandalay","Member","Male"
"160","423-57-2993","B","Mandalay","Normal","Male"
"161","894-41-5205","C","Naypyitaw","","Female"
"162","275-28-0149","A","Yangon","Normal","Male"
"163","101-17-6199","A","Yangon","Normal","Male"
"164","423-80-0988","C","Naypyitaw","Normal","Male"
"165","548-46-9322","B","Mandalay","Normal","Male"
"166","505-02-0892","B","Mandalay","Member","Male"
"167","234-65-2137","C","Naypyitaw","Normal","Male"
"168","687-47-8271","A","Yangon","Normal","Male"
"169","796-32-9050","A","Yangon","Normal","Male"
"170","105-31-1824","A","Yangon","","Male"
"171","249-42-3782","A","Yangon","Normal","Male"
"172","316-55-4634","B","Mandalay","Member","Male"
"173","733-33-4967","C","Naypyitaw","Normal","Male"
"174","608-27-6295","B","Mandalay","Member","Male"
"175","414-12-7047","B","Mandalay","Normal","Male"
"176","827-26-2100","A","Yangon","Member","Male"
"177","175-54-2529","A","Yangon","Member","Male"
"178","139-52-2867","C","Naypyitaw","Normal","Female"
"179","407-63-8975","A","Yangon","","Male"
"180","342-65-4817","C","Naypyitaw","Member","Male"
"181","130-98-8941","C","Naypyitaw","Normal","Male"
"182","434-83-9547","C","Naypyitaw","","Male"
"183","851-28-6367","A","Yangon","Member","Male"
"184","824-88-3614","C","Naypyitaw","","Male"
"185","586-25-0848","A","Yangon","Normal","Female"
"186","895-66-0685","B","Mandalay","","Male"
"187","305-14-0245","B","Mandalay","Member","Female"
"188","732-04-5373","B","Mandalay","Member","Male"
"189","400-60-7251","A","Yangon","Normal","Male"
"190","593-65-1552","C","Naypyitaw","Normal","Female"
"191","284-34-9626","B","Mandalay","Normal","Female"
"192","437-58-8131","B","Mandalay","Normal","Female"
"193","286-43-6208","C","Naypyitaw","Normal","Female"
"194","641-43-2399","B","Mandalay","Normal","Male"
"195","831-07-6050","A","Yangon","Normal","Male"
"196","556-86-3144","C","Naypyitaw","Member","Female"
"197","848-24-9445","C","Naypyitaw","Member","Male"
"198","856-22-8149","A","Yangon","Normal","Female"
"199","699-01-4164","C","Naypyitaw","Normal","Male"
"200","420-11-4919","C","Naypyitaw","Member","Female"
"201","606-80-4905","C","Naypyitaw","Member","Female"
"202","542-41-0513","B","Mandalay","Member","Female"
"203","426-39-2418","C","Naypyitaw","Normal","Male"
"204","875-46-5808","B","Mandalay","Member","Male"
"205","394-43-4238","B","Mandalay","Member","Male"
"206","749-24-1565","A","Yangon","","Female"
"207","672-51-8681","C","Naypyitaw","","Female"
"208","263-87-5680","C","Naypyitaw","Member","Female"
"209","573-58-9734","B","Mandalay","Normal","Female"
"210","817-69-8206","B","Mandalay","Normal","Female"
"211","888-02-0338","A","Yangon","","Male"
"212","677-11-0152","C","Naypyitaw","Normal","Female"
"213","142-63-6033","B","Mandalay","Normal","Male"
"214","656-16-1063","B","Mandalay","Normal","Male"
"215","891-58-8335","B","Mandalay","Member","Female"
"216","802-43-8934","A","Yangon","","Male"
"217","560-30-5617","B","Mandalay","","Female"
"218","319-74-2561","A","Yangon","Member","Female"
"219","549-03-9315","B","Mandalay","Normal","Male"
"220","790-29-1172","B","Mandalay","Normal","Female"
"221","239-36-3640","B","Mandalay","Normal","Male"
"222","468-01-2051","B","Mandalay","Normal","Male"
"223","389-25-3394","C","Naypyitaw","Normal","Male"
"224","279-62-1445","C","Naypyitaw","","Female"
"225","213-72-6612","A","Yangon","Normal","Male"
"226","746-68-6593","C","Naypyitaw","Member","Female"
"227","836-82-5858","B","Mandalay","Member","Male"
"228","583-72-1480","C","Naypyitaw","","Male"
"229","466-61-5506","B","Mandalay","","Female"
"230","721-86-6247","A","Yangon","Normal","Female"
"231","289-65-5721","B","Mandalay","Normal","Female"
"232","545-46-3100","B","Mandalay","Member","Female"
"233","418-02-5978","B","Mandalay","Normal","Female"
"234","269-04-5750","B","Mandalay","Member","Male"
"235","157-13-5295","A","Yangon","Member","Male"
"236","645-78-8093","A","Yangon","Normal","Female"
"237","211-30-9270","C","Naypyitaw","Normal","Male"
"238","755-12-3214","C","Naypyitaw","Member","Female"
"239","346-84-3103","B","Mandalay","Member","Female"
"240","478-06-7835","A","Yangon","","Male"
"241","540-11-4336","A","Yangon","Normal","Male"
"242","448-81-5016","A","Yangon","","Male"
"243","142-72-4741","C","Naypyitaw","Member","Male"
"244","217-58-1179","A","Yangon","Member","Male"
"245","376-02-8238","B","Mandalay","","Male"
"246","530-90-9855","A","Yangon","Member","Male"
"247","866-05-7563","B","Mandalay","Member","Female"
"248","604-70-6476","A","Yangon","Member","Male"
"249","799-71-1548","A","Yangon","Member","Male"
"250","785-13-7708","B","Mandalay","","Male"
