Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,OverallQual,YearBuilt,RoofStyle,GarageArea,SalePrice
1485,SPLIT OR MULTI-LEVEL,RL,67.0,13300,1,7,2004,Gable,400.0,177761.6101
1486,2-STORY 1946+,RL,63.0,8577,1,7,2004,Gable,433.0,191896.2504
1487,2-STORY 1946+,RL,60.0,17433,2,8,1998,Hip,962.0,355159.5636
1488,1-STORY 1946+,RL,73.0,8987,0,8,2005,Gable,880.0,238546.9706
1489,1-STORY 1946+,FV,92.0,9215,0,7,2009,Hip,676.0,201910.9054
1490,1-STORY 1946+,FV,84.0,10440,0,6,2005,Gable,528.0,210612.9819
1491,2-STORY 1946+,RL,70.0,11920,0,7,2004,Gable,484.0,190212.2407
1492,1-STORY 1945-,RH,70.0,9800,0,5,1920,Gable,429.0,94308.30628
1493,1-STORY 1946+,RL,39.0,15410,1,6,1974,Hip,461.0,181127.9149
1494,2-STORY 1946+,RL,85.0,13143,1,8,1993,Gable,762.0,304239.2861
1495,2-STORY 1946+,RL,88.0,11134,0,8,1992,Gable,713.0,302603.7024
1496,1-STORY PUD 1946+,FV,25.0,4835,1,7,2004,Gable,506.0,236011.5729
1497,2-STORY PUD 1946+,FV,39.0,3515,0,7,2004,Gable,588.0,184220.4763
1498,2-STORY PUD 1946+,FV,30.0,3215,0,7,2004,Gable,480.0,165371.7395
1499,2-STORY PUD 1946+,FV,24.0,2544,0,7,2004,Gable,480.0,164046.8745
1500,2-STORY PUD 1946+,FV,24.0,2544,0,6,2005,Gable,480.0,147400.8378
1501,2-STORY PUD 1946+,FV,,2980,0,6,2000,Gable,440.0,168079.7258
1502,2-STORY PUD 1946+,FV,,2403,1,7,2003,Gable,496.0,154254.3743
1503,1-STORY 1946+,FV,57.0,12853,1,8,2010,Gable,852.0,280054.8663
1504,2-STORY 1946+,FV,68.0,7379,1,8,2000,Gable,592.0,235220.188
1505,1-STORY 1946+,FV,80.0,8000,0,7,2002,Gable,596.0,225199.9526
1506,1-STORY 1946+,RL,,10456,1,6,1967,Hip,535.0,176694.4754
1507,2-STORY 1946+,RL,80.0,10791,0,6,1993,Gable,660.0,229684.8209
1508,1-1/2 STORY FIN,RL,,18837,1,6,1978,Gable,678.0,195856.4086
1509,2-STORY 1946+,RL,80.0,9600,0,6,1971,Gable,441.0,167854.604
1510,1-STORY 1946+,RL,80.0,9600,0,5,1966,Hip,490.0,145531.0742
1511,1-STORY 1946+,RL,90.0,9900,0,5,1966,Hip,504.0,148808.8202
1512,1-STORY 1946+,RL,88.0,9680,0,5,1967,Gable,517.0,175724.342
1513,SPLIT OR MULTI-LEVEL,RL,,10600,1,6,1964,Gable,480.0,141540.4086
1514,DUPLEX,RL,98.0,13260,1,5,1962,Hip,0.0,150786.7703
1515,1-1/2 STORY FIN,RL,68.0,9724,0,5,1952,Gable,400.0,191242.8933
1516,1-1/2 STORY FIN,RL,120.0,17360,0,6,1949,Gable,470.0,161403.6697
1517,SPLIT FOYER,RL,75.0,11380,1,6,1966,Gable,315.0,156336.679
1518,DUPLEX,RL,70.0,8267,0,5,1958,Gable,576.0,136671.333
1519,1-STORY 1946+,RL,70.0,8197,0,7,2003,Gable,620.0,225070.8422
1520,1-STORY 1946+,RL,,8050,1,5,1959,Hip,308.0,134946.5841
1521,1-STORY 1946+,RL,87.0,10725,1,5,1959,Hip,312.0,138220.2669
1522,1-STORY 1946+,RL,80.0,10032,0,6,1959,Gable,440.0,163890.7045
1523,1-1/2 STORY FIN,RL,60.0,8382,0,4,1956,Gable,263.0,114488.7256
1524,1-STORY 1946+,RL,60.0,10950,0,5,1952,Gable,318.0,126387.6349
1525,1-STORY 1946+,RL,119.0,10895,0,5,1955,Gable,305.0,127975.3143
1526,2 FAMILY CONVERSION,RL,70.0,13587,0,5,1958,Gable,264.0,120310.909
1527,1-STORY 1945-,RL,65.0,7898,0,4,1920,Gable,676.0,99982.25754
1528,1-1/2 STORY FIN,RL,60.0,8064,0,6,1948,Gable,280.0,130280.5697
1529,1-STORY 1946+,RL,81.0,7635,1,5,1960,Gable,484.0,148419.3964
1530,1-STORY 1946+,RL,80.0,9760,0,6,1963,Hip,440.0,178071.3436
1531,1-1/2 STORY FIN,RM,60.0,4800,0,4,1900,Hip,240.0,100667.2272
1532,1-STORY 1945-,RM,56.0,4485,0,5,1920,Gable,0.0,100326.792
1533,1-STORY 1946+,RM,69.0,5805,0,5,1957,Hip,551.0,142399.1838
1534,1-1/2 STORY UNF,RM,50.0,6900,0,6,1938,Gable,240.0,120297.9064
1535,1-1/2 STORY FIN,RM,69.0,11851,0,5,1948,Gable,240.0,155367.6103
1536,1-1/2 STORY FIN,RM,,8239,0,5,1920,Gable,315.0,113060.0763
1537,1-STORY 1945-,RM,68.0,9656,0,2,1923,Gable,780.0,68227.9669
1538,2-STORY 1945-,RM,60.0,9600,0,8,1900,Gable,288.0,171456.124
1539,2-STORY 1945-,RM,50.0,9000,0,8,1890,Gable,624.0,213020.227
1540,2 FAMILY CONVERSION,RM,100.0,9045,0,5,1910,Gable,0.0,89953.60837
1541,2-STORY 1945-,RM,60.0,10560,0,6,1922,Gable,624.0,145742.545
1542,1-1/2 STORY FIN,RM,53.0,5830,0,5,1950,Gable,363.0,136701.2598
1543,2-1/2 STORY,RL,,7793,1,7,1922,Gable,315.0,221460.4881
1544,1-STORY 1945-,RM,50.0,5000,0,4,1925,Gable,200.0,84036.77301
1545,1-1/2 STORY FIN,RM,50.0,6000,0,6,1939,Gable,240.0,99882.83894
1546,1-1/2 STORY FIN,RM,50.0,6000,0,6,1940,Gable,576.0,121330.6203
1547,1-1/2 STORY FIN,RM,53.0,6360,0,5,1942,Gable,240.0,135105.881
1548,1-1/2 STORY FIN,RM,50.0,6000,0,6,1948,Gable,312.0,127969.4917
1549,1-1/2 STORY FIN,RM,52.0,6240,0,5,1936,Gable,624.0,109195.3263
1550,1-1/2 STORY FIN,RM,52.0,6240,0,5,1930,Gable,480.0,138416.7597
1551,1-STORY 1945-,RM,51.0,6120,0,6,1923,Gable,288.0,112456.2216
1552,1-1/2 STORY FIN,RM,57.0,8094,0,4,1915,Gable,572.0,122622.5501
1553,2-STORY 1945-,RM,60.0,12900,0,6,1912,Gable,0.0,156539.9723
1554,2-STORY 1945-,RM,52.0,3068,0,6,1920,Gable,180.0,112853.7228
1555,1-STORY 1946+,RL,100.0,15263,1,5,1959,Gable,365.0,164558.9788
1556,1-1/2 STORY FIN,RL,72.0,10632,1,5,1917,Gable,180.0,84708.55193
1557,2 FAMILY CONVERSION,RL,60.0,9900,0,5,1915,Gable,0.0,105779.1566
1558,1-1/2 STORY FIN,RL,65.0,6001,1,6,1940,Gable,231.0,89536.52243
1559,2-STORY 1945-,C,,6449,1,4,1907,Gambrel,0.0,71484.70927
1560,2 FAMILY CONVERSION,RH,60.0,6048,0,5,1910,Gable,450.0,135536.5427
